IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
95,0,4168.72,4169.74,4169.23,4233.85,4179.49,4164.62,4173.85,4165.13,4227.69,4170.26,4165.64,4214.87,4173.33,4172.82,847,2055,2032,0,11.5591,
96,0,4167.18,4169.74,4167.18,4235.38,4175.9,4169.74,4167.69,4158.46,4232.82,4167.18,4162.05,4220.51,4167.69,4167.69,849,2056,2032,0,11.567,
97,0,4164.62,4169.23,4166.15,4231.79,4177.44,4174.87,4169.23,4164.1,4234.36,4166.15,4161.03,4215.9,4161.54,4161.54,524,2055,2029,0,11.5749,
98,0,4166.15,4169.23,4164.62,4228.21,4178.97,4171.79,4169.23,4165.64,4232.31,4168.21,4166.15,4215.38,4168.72,4165.13,837,2058,2030,0,11.5827,
99,0,4167.18,4171.79,4162.56,4232.82,4172.31,4170.77,4162.56,4155.38,4237.95,4163.59,4164.1,4218.97,4169.23,4164.62,847,2058,2031,0,11.5906,
100,0,4168.72,4178.97,4155.38,4233.85,4176.92,4174.87,4168.21,4160.51,4235.38,4166.15,4162.56,4218.46,4160,4162.05,849,2056,2029,0,11.5985,
101,0,4169.23,4181.03,4157.95,4229.23,4182.56,4181.54,4180.51,4171.28,4227.18,4176.92,4166.67,4212.82,4164.1,4165.64,524,2054,2032,0,11.6064,
102,0,4178.97,4184.62,4168.21,4220.51,4183.08,4183.59,4182.05,4174.36,4221.54,4183.59,4176.92,4211.79,4187.18,4178.97,837,2054,2028,0,11.6143,
103,0,4192.82,4189.74,4168.21,4217.95,4189.23,4179.49,4182.05,4180.51,4214.87,4190.77,4189.23,4212.82,4204.62,4195.38,847,2053,2029,0,11.6221,
104,0,4190.26,4180.51,4171.79,4225.13,4187.18,4181.03,4186.15,4188.21,4209.74,4199.49,4200,4203.59,4207.69,4205.64,849,2049,2028,0,11.63,
